"ID,N,4,0","WIDTH,N,17,15","HEIGHT,N,17,15","AREA,N,17,15","PERIMETER,N,17,15"
1,"0,061459","0,054585","0,003355","0,232087"
2,"0,077632","0,086527","0,006717","0,328319"
3,"0,032347","0,043668","0,001413","0,152029"
4,"0,111596","0,147582","0,01647","0,518355"
5,"0,015769","0,019408","0,000306","0,070354"
6,"0,034773","0,03639","0,001265","0,142325"
7,"0,033357","0,044072","0,00147","0,15486"
8,"0,071971","0,090166","0,006489","0,324275"
9,"0,052159","0,061054","0,003185","0,226427"
10,"0,036794","0,044477","0,001636","0,162542"
11,"0,035177","0,050137","0,001764","0,170629"
12,"0,047711","0,065098","0,003106","0,225618"
13,"0,061863","0,071163","0,004402","0,266051"
14,"0,071567","0,076419","0,005469","0,295972"
15,"0,048924","0,067524","0,003304","0,232896"
16,"0,019812","0,024664","0,000489","0,088953"
17,"0,023451","0,026282","0,000616","0,099466"
18,"0,03639","0,032751","0,001192","0,138282"
19,"0,04569","0,043264","0,001977","0,177907"
20,"0,026079","0,029718","0,000775","0,111596"
21,"0,014556","0,020217","0,000294","0,069545"
22,"0,050946","0,047307","0,00241","0,196506"
23,"0,044072","0,055798","0,002459","0,199741"
24,"0,035379","0,026888","0,000951","0,124535"
25,"0,061459","0,048924","0,003007","0,220766"
26,"0,036794","0,029718","0,001093","0,133026"
27,"0,052563","0,059841","0,003145","0,224809"
28,"0,020621","0,029112","0,0006","0,099466"
29,"0,04569","0,054181","0,002475","0,199741"
30,"0,031942","0,029921","0,000956","0,123726"
31,"0,024664","0,021025","0,000519","0,091379"
32,"0,022036","0,028505","0,000628","0,101083"
33,"0,018397","0,020014","0,000368","0,076823"
34,"0,084506","0,041646","0,003519","0,252304"
35,"0,039625","0,070354","0,002788","0,219957"
36,"0,061863","0,088953","0,005503","0,301633"
37,"0,046903","0,056202","0,002636","0,20621"
38,"0,035986","0,027495","0,000989","0,126961"
39,"0,067928","0,054181","0,00368","0,244217"
40,"0,05135","0,035177","0,001806","0,173055"
41,"0,135856","0,117661","0,015985","0,507034"
42,"0,077228","0,080058","0,006183","0,314571"
43,"0,046903","0,033155","0,001555","0,160116"
44,"0,044072","0,053372","0,002352","0,194889"
45,"0,069545","0,06348","0,004415","0,266051"
46,"0,054585","0,050542","0,002759","0,210253"
47,"0,025877","0,021025","0,000544","0,093805"
48,"0,042051","0,038007","0,001598","0,160116"
49,"0,03922","0,031538","0,001237","0,141517"
50,"0,067119","0,067119","0,004505","0,268477"
51,"0,031134","0,02143","0,000667","0,105127"
52,"0,016578","0,015365","0,000255","0,063885"
53,"0,017588","0,017791","0,000313","0,070758"
54,"0,037603","0,047307","0,001779","0,16982"
55,"0,018599","0,026686","0,000496","0,090571"
56,"0,017184","0,020014","0,000344","0,074397"
57,"0,047307","0,044881","0,002123","0,184376"
58,"0,04104","0,057011","0,00234","0,196102"
59,"0,024664","0,03174","0,000783","0,112809"
60,"0,024058","0,021227","0,000511","0,090571"
61,"0,020014","0,013545","0,000271","0,067119"
62,"0,036794","0,062267","0,002291","0,198123"
63,"0,023047","0,024058","0,000554","0,09421"
64,"0,019408","0,020217","0,000392","0,079249"
65,"0,011321","0,012534","0,000142","0,047711"
66,"0,018801","0,016578","0,000312","0,070758"
67,"0,020014","0,018599","0,000372","0,077228"
68,"0,040029","0,025877","0,001036","0,131813"
69,"0,029921","0,020217","0,000605","0,100275"
70,"0,016578","0,02143","0,000355","0,076015"
71,"0,026282","0,02426","0,000638","0,101083"
72,"0,026686","0,02709","0,000723","0,107553"
73,"0,037199","0,051755","0,001925","0,177907"
74,"0,025069","0,073184","0,001835","0,196506"
75,"0,02143","0,018195","0,00039","0,079249"
76,"0,02426","0,023451","0,000569","0,095423"
77,"0,026484","0,03639","0,000964","0,125748"
78,"0,054585","0,060246","0,003289","0,229661"
79,"0,032144","0,035783","0,00115","0,135856"
80,"0,040838","0,046903","0,001915","0,175481"
81,"0,055394","0,061459","0,003404","0,233705"
82,"0,013141","0,013747","0,000181","0,053776"
83,"0,034773","0,031942","0,001111","0,13343"
84,"0,028303","0,034368","0,000973","0,125343"
85,"0,097849","0,095423","0,009337","0,386543"
86,"0,030325","0,04569","0,001386","0,152029"
87,"0,021025","0,017588","0,00037","0,077228"
88,"0,01678","0,032144","0,000539","0,097849"
89,"0,022036","0,015567","0,000343","0,075206"
90,"0,033357","0,031538","0,001052","0,129791"
91,"0,028505","0,02891","0,000824","0,114831"
